feature,coefficient,abs_coefficient
Bwd Header Len,6.843892270170903,6.843892270170903
Flow IAT Std,3.070707334973379,3.070707334973379
Bwd Pkt Len Min,2.9886363446365642,2.9886363446365642
Fwd Act Data Pkts,-2.528512224208113,2.528512224208113
Fwd IAT Min,-2.4369327405953363,2.4369327405953363
Flow IAT Min,1.904248393930283,1.904248393930283
Fwd Pkt Len Max,-1.721711303007556,1.721711303007556
Protocol,1.6922816076997877,1.6922816076997877
Flow IAT Mean,-1.5286087741347285,1.5286087741347285
Bwd IAT Std,-1.4996750251628421,1.4996750251628421
Init Bwd Win Byts,-1.4414334962823108,1.4414334962823108
Flow Pkts/s,-1.434559886103183,1.434559886103183
Fwd Pkt Len Std,1.173221059832824,1.173221059832824
Fwd IAT Std,-1.1422200401910179,1.1422200401910179
Bwd Seg Size Avg,-1.0469884486851129,1.0469884486851129
Bwd Pkt Len Mean,-1.0469884486851109,1.0469884486851109
Bwd IAT Min,-1.0102848828092783,1.0102848828092783
Bwd Pkt Len Std,0.8213347325426013,0.8213347325426013
Fwd IAT Tot,-0.8191794430921997,0.8191794430921997
Fwd IAT Max,0.818848569191078,0.818848569191078
TotLen Fwd Pkts,0.8127599524363501,0.8127599524363501
Subflow Fwd Byts,0.8127599524363501,0.8127599524363501
Fwd Pkt Len Min,-0.8037126527470713,0.8037126527470713
Pkt Len Var,-0.7681515619196312,0.7681515619196312
Tot Bwd Pkts,-0.7661859915418948,0.7661859915418948
Subflow Bwd Pkts,-0.7661859915418948,0.7661859915418948
SYN Flag Cnt,0.7429064422693681,0.7429064422693681
Flow IAT Max,-0.7378055113331138,0.7378055113331138
Pkt Size Avg,-0.7269780212409963,0.7269780212409963
Active Mean,-0.6870359667307042,0.6870359667307042
Subflow Fwd Pkts,0.667445690158146,0.667445690158146
Tot Fwd Pkts,0.667445690158146,0.667445690158146
Flow Duration,0.6449369677085173,0.6449369677085173
PSH Flag Cnt,0.6402201790380859,0.6402201790380859
Bwd PSH Flags,0.6402201790380859,0.6402201790380859
Pkt Len Std,0.6325083221234853,0.6325083221234853
Pkt Len Min,-0.6106031604616357,0.6106031604616357
Bwd IAT Max,-0.4982796954103748,0.4982796954103748
ACK Flag Cnt,0.49588264113732855,0.49588264113732855
Flow Byts/s,-0.46319150009445564,0.46319150009445564
Down/Up Ratio,0.4318140722043033,0.4318140722043033
Active Max,0.4114901228688487,0.4114901228688487
Pkt Len Mean,0.3983121553864416,0.3983121553864416
Init Fwd Win Byts,0.37426790661004605,0.37426790661004605
Fwd Pkt Len Mean,0.3406544621494719,0.3406544621494719
Fwd Seg Size Avg,0.3406544621494719,0.3406544621494719
Fwd IAT Mean,0.28038352311579406,0.28038352311579406
Fwd Pkts/s,0.2797356384074847,0.2797356384074847
Active Std,0.2633526705769926,0.2633526705769926
missing__Fwd Header Len,-0.21535430983172152,0.21535430983172152
Bwd Pkt Len Max,-0.194924701455091,0.194924701455091
Active Min,0.1928148312790859,0.1928148312790859
Dst Port,-0.18293370799855782,0.18293370799855782
Idle Mean,0.12982832638952188,0.12982832638952188
Fwd Header Len,0.12964184574719917,0.12964184574719917
TotLen Bwd Pkts,-0.10572382304418311,0.10572382304418311
Subflow Bwd Byts,-0.10572382304418311,0.10572382304418311
Idle Min,0.10197063938325113,0.10197063938325113
Src Port,0.07407857693205355,0.07407857693205355
Idle Max,0.062173127013936284,0.062173127013936284
Bwd IAT Tot,-0.053691559252776085,0.053691559252776085
Pkt Len Max,-0.0447638002504773,0.0447638002504773
Bwd Pkts/s,-0.030707467959379724,0.030707467959379724
Bwd IAT Mean,-0.01878429969578496,0.01878429969578496
Idle Std,0.007894925156364786,0.007894925156364786
missing__Flow Pkts/s,-0.0034737436159137363,0.0034737436159137363
missing__Flow Byts/s,-0.0034737436159137363,0.0034737436159137363
RST Flag Cnt,0.0,0.0
Fwd URG Flags,0.0,0.0
Bwd URG Flags,0.0,0.0
Fwd PSH Flags,0.0,0.0
FIN Flag Cnt,0.0,0.0
Bwd Blk Rate Avg,0.0,0.0
Fwd Byts/b Avg,0.0,0.0
ECE Flag Cnt,0.0,0.0
Fwd Blk Rate Avg,0.0,0.0
Bwd Byts/b Avg,0.0,0.0
Bwd Pkts/b Avg,0.0,0.0
Fwd Pkts/b Avg,0.0,0.0
CWE Flag Count,0.0,0.0
URG Flag Cnt,0.0,0.0
Fwd Seg Size Min,0.0,0.0
