feature,importance
missing__Active Max,2.3450427233496074e-07
missing__Idle Min,1.9116537867004872e-07
missing__Subflow Bwd Pkts,1.7177319116844962e-07
missing__Fwd Blk Rate Avg,1.4614711037228892e-07
missing__Active Min,1.4346752155857911e-07
missing__FIN Flag Cnt,1.3799288632647656e-07
missing__Bwd Pkts/b Avg,1.1277728445763323e-07
missing__Bwd Blk Rate Avg,1.0857595365057614e-07
missing__SYN Flag Cnt,1.0728158194557234e-07
missing__Fwd Seg Size Avg,1.0350649588993703e-07
missing__Idle Mean,9.397446987341883e-08
missing__Subflow Fwd Byts,9.313002374323756e-08
missing__Fwd IAT Max,7.793853795851193e-08
missing__Init Fwd Win Byts,7.521902539983072e-08
missing__Bwd IAT Tot,7.278769632367495e-08
missing__Bwd IAT Max,6.730034343909615e-08
missing__Subflow Bwd Byts,6.205078088857467e-08
missing__PSH Flag Cnt,5.541548864595811e-08
missing__Flow IAT Mean,5.421563380472383e-08
missing__ACK Flag Cnt,5.364215324480651e-08
missing__RST Flag Cnt,5.0366517506694426e-08
missing__Bwd Pkt Len Mean,4.339738012874833e-08
missing__Fwd Header Len,3.571661597867085e-08
missing__Fwd Pkts/b Avg,3.4288121631291695e-08
missing__Fwd Pkts/s,2.977170554102264e-08
missing__ECE Flag Cnt,2.6552936312436162e-08
missing__Subflow Fwd Pkts,2.5627868116886504e-08
missing__Bwd IAT Mean,2.299021383553096e-08
missing__Bwd Seg Size Avg,2.289084910903903e-08
missing__Pkt Len Min,1.9143557644490588e-08
missing__Down/Up Ratio,1.9127522072702678e-08
missing__Active Mean,1.4672046904209338e-08
missing__Bwd IAT Min,1.4158482656331796e-08
missing__Pkt Len Mean,1.4037611250889311e-08
missing__Bwd IAT Std,1.4033387097824391e-08
missing__URG Flag Cnt,1.397917502719059e-08
missing__Pkt Len Var,1.3519646599865093e-08
missing__Flow IAT Min,1.1998423083427293e-08
missing__Flow IAT Std,1.1666871550344616e-08
missing__Flow IAT Max,1.13452549046957e-08
missing__CWE Flag Count,5.76402222819693e-09
missing__Fwd IAT Mean,4.095334970119954e-09
missing__Pkt Len Max,1.504595311964585e-09
missing__Bwd Pkts/s,8.571389863735054e-10
missing__Bwd Header Len,3.992051279727083e-10
missing__Fwd IAT Tot,3.1754808416201598e-18
missing__Bwd Byts/b Avg,1.4259749974919316e-18
missing__Pkt Len Std,2.226152912849237e-19
missing__Bwd URG Flags,9.81601856329828e-22
missing__Fwd IAT Min,7.730273962793417e-22
missing__Pkt Size Avg,3.947469482856501e-22
ECE Flag Cnt,0.0
CWE Flag Count,0.0
Bwd Blk Rate Avg,0.0
Bwd URG Flags,0.0
Fwd URG Flags,0.0
Fwd PSH Flags,0.0
FIN Flag Cnt,0.0
RST Flag Cnt,0.0
Init Fwd Win Byts,0.0
Fwd Seg Size Min,0.0
Fwd Pkts/b Avg,0.0
Fwd Byts/b Avg,0.0
Fwd Blk Rate Avg,0.0
Bwd Byts/b Avg,0.0
Bwd Pkts/b Avg,0.0
URG Flag Cnt,0.0
missing__Fwd PSH Flags,0.0
missing__Fwd URG Flags,0.0
missing__Bwd PSH Flags,0.0
missing__Fwd IAT Std,0.0
missing__Bwd Pkt Len Std,0.0
missing__Fwd Byts/b Avg,0.0
missing__Fwd Act Data Pkts,0.0
missing__Init Bwd Win Byts,0.0
